threshold,precision,recall,f1
14.795440673828125,0.6666666666666666,1.0,0.8
38.95042442436794,1.0,1.0,1.0
63.105408174907744,1.0,1.0,1.0
87.26039192544755,1.0,1.0,1.0
111.41537567598736,1.0,1.0,1.0
135.57035942652718,1.0,1.0,1.0
159.72534317706697,1.0,1.0,1.0
183.8803269276068,1.0,1.0,1.0
208.0353106781466,1.0,1.0,1.0
232.1902944286864,1.0,1.0,1.0
256.3452781792262,1.0,1.0,1.0
280.50026192976605,1.0,1.0,1.0
304.6552456803058,1.0,1.0,1.0
328.81022943084565,1.0,1.0,1.0
352.9652131813855,1.0,1.0,1.0
377.12019693192525,1.0,1.0,1.0
401.2751806824651,1.0,1.0,1.0
425.4301644330049,1.0,1.0,1.0
449.5851481835447,1.0,1.0,1.0
473.7401319340845,1.0,1.0,1.0
497.89511568462433,1.0,1.0,1.0
522.0500994351642,1.0,1.0,1.0
546.205083185704,1.0,1.0,1.0
570.3600669362437,1.0,1.0,1.0
594.5150506867835,1.0,1.0,1.0
618.6700344373234,1.0,1.0,1.0
642.8250181878632,1.0,1.0,1.0
666.980001938403,1.0,1.0,1.0
691.1349856889428,1.0,1.0,1.0
715.2899694394825,1.0,1.0,1.0
739.4449531900224,1.0,1.0,1.0
763.5999369405622,1.0,1.0,1.0
787.754920691102,1.0,1.0,1.0
811.9099044416419,1.0,1.0,1.0
836.0648881921817,1.0,1.0,1.0
860.2198719427215,1.0,1.0,1.0
884.3748556932612,1.0,1.0,1.0
908.529839443801,1.0,1.0,1.0
932.6848231943409,1.0,1.0,1.0
956.8398069448807,1.0,1.0,1.0
980.9947906954205,1.0,1.0,1.0
1005.1497744459604,1.0,1.0,1.0
1029.3047581965002,1.0,1.0,1.0
1053.45974194704,1.0,1.0,1.0
1077.6147256975798,1.0,1.0,1.0
1101.7697094481196,1.0,1.0,1.0
1125.9246931986593,1.0,1.0,1.0
1150.0796769491992,1.0,1.0,1.0
1174.234660699739,1.0,1.0,1.0
1198.3896444502789,1.0,1.0,1.0
1222.5446282008186,1.0,1.0,1.0
1246.6996119513585,1.0,1.0,1.0
1270.8545957018982,1.0,1.0,1.0
1295.009579452438,1.0,1.0,1.0
1319.164563202978,1.0,1.0,1.0
1343.3195469535176,1.0,1.0,1.0
1367.4745307040575,1.0,1.0,1.0
1391.6295144545973,1.0,1.0,1.0
1415.784498205137,1.0,1.0,1.0
1439.939481955677,1.0,1.0,1.0
1464.0944657062166,1.0,1.0,1.0
1488.2494494567566,1.0,1.0,1.0
1512.4044332072963,1.0,1.0,1.0
1536.5594169578362,1.0,1.0,1.0
1560.714400708376,1.0,1.0,1.0
1584.8693844589156,1.0,1.0,1.0
1609.0243682094556,1.0,1.0,1.0
1633.1793519599953,1.0,1.0,1.0
1657.3343357105352,1.0,1.0,1.0
