configuration,status,precision,recall,f1,false_positive_rate,alert_count
AE-Minimal,ok,0.6202867409078345,1.0,0.7656505793046143,1.0,448628.0
AE-Context,ok,0.6202895061810951,1.0,0.7656526859117573,0.9999882594658056,448626.0
Statisztikai baseline,ok,0.5147067321583357,0.0320075607845392,0.0602673360781912,0.0492985030818902,17305.0
Szabályalapú proxy baseline,ok,0.5252685132843414,0.0333910693622923,0.0627905719537247,0.0492985030818902,17690.0
Offline hibrid,ok,0.6202867409078345,1.0,0.7656505793046143,1.0,448628.0
Natív Wazuh baseline,missing,,,,,
