event_id,timestamp,destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_per_sec,flow_packets_per_sec,protocol,source_ip,target_ip,scenario
APRIV-007,2026-05-11T16:10:30Z,22,9.028357,0.0,146.0,959.532282562597,16.171270143615278,tcp,192.168.56.102,192.168.56.101,privilege_change
APRIV-008,2026-05-11T17:41:30Z,22,8.11123,168.0,164.0,2301.9936557094297,40.93090690314539,tcp,192.168.56.102,192.168.56.101,privilege_change
BPKG-001,2026-05-11T13:01:03Z,22,24.059818,2.0,309.0,896.1414421339347,12.926116066214632,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-002,2026-05-11T13:10:33Z,22,23.817072000000003,2.0,293.0,874.7086963502481,12.386073317492594,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-003,2026-05-11T13:14:07Z,22,12.147678,1.0,245.0,1000.602748936875,20.250783730026427,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-004,2026-05-11T13:27:10Z,22,23.395714,1.0,261.0,540.2271544266612,11.198632364885293,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-005,2026-05-11T13:34:04Z,22,10.964737,0.0,275.0,1203.7680429544275,25.08040092525703,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-006,2026-05-11T13:35:57Z,22,9.107234,0.0,202.0,1168.6314417747474,22.180170181198815,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-007,2026-05-11T13:50:19Z,22,12.877441,0.0,356.0,1251.4132272087288,27.64524411332966,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-008,2026-05-11T13:56:54Z,22,11.332034,1.0,229.0,1028.1472858270633,20.29644457473389,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-009,2026-05-11T13:58:56Z,22,12.509778,0.0,252.0,991.7841867377662,20.144242367850172,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-010,2026-05-11T14:11:01Z,22,71.60508,1.0,1631.0,914.2647421104759,22.79167902612496,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-011,2026-05-11T14:18:54Z,22,10.847702,1.0,230.0,1070.73369087757,21.294832767345564,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-012,2026-05-11T14:20:58Z,22,15.081025,0.0,437.0,1264.3039846429535,28.976810263228128,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-013,2026-05-11T14:33:58Z,22,10.319908,1.0,268.0,1258.0538508676627,26.066123845290093,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-014,2026-05-11T17:43:37Z,22,24.377553,534.0,528.0,1839.889344102749,43.564667872940326,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-015,2026-05-11T14:42:12Z,22,9.92591,1.0,229.0,1166.5429164681123,23.171678969484915,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-016,2026-05-11T17:46:04Z,22,17.506363,531.0,520.0,2529.1375484445284,60.03531401696629,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-017,2026-05-11T15:02:13Z,22,10.258189,1.0,213.0,1072.6064805395963,20.86138206266233,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-018,2026-05-11T15:04:15Z,22,9.71191,1.0,233.0,1210.781401392723,24.0941277256482,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-019,2026-05-11T15:16:52Z,22,9.560179,1.0,207.0,1128.326153725783,21.75691480253665,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-020,2026-05-11T15:23:14Z,22,10.196253,1.0,190.0,1004.9770244029841,18.732371587876447,tcp,192.168.56.102,192.168.56.101,benign_package_update
BPKG-021,2026-05-11T17:48:03Z,22,8.964311,201.0,197.0,2343.5153019568374,44.39828113950977,tcp,192.168.56.102,192.168.56.101,benign_package_update
