tn,fp,fn,tp,precision,recall,f1,n_samples,n_attack,n_benign,roc_auc,threshold_name,threshold_value
170190,160,278267,11,0.06432748538011696,3.952881650723377e-05,7.900908245316019e-05,448628,278278,170350,0.6995467739516809,fixed,0.01
161814,8536,272396,5882,0.40796226938549035,0.021137136245049915,0.04019187142974281,448628,278278,170350,0.6995467739516809,percentile_95,0.00014845199693809262
1,170349,0,278278,0.620288123541383,1.0,0.7656516326067367,448628,278278,170350,0.6995467739516809,f1_optimum,8.14416239336424e-07
