model_load_time_s,total_events,batch_size,repeat_index,total_time_s,events_per_second,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,failed_events,process_cpu_time_s,cpu_time_per_event_ms,memory_rss_mb_before,memory_rss_mb_after,memory_rss_delta_mb,peak_memory_mb
0.006422500002372544,100,1,1,0.2613959780028381,382.56135677387607,2.6124107802388608,2.535099500164506,3.0506950004564715,3.763302988336364,3.8229989986575674,0,0.26140410000000003,2.6140410000000003,,,,142.65625
0.006422500002372544,100,1,2,0.2684714780007198,372.4790459854059,2.683210780051013,2.488799998900504,3.890694997971877,4.34510001083254,4.543200000625802,0,0.2684685,2.684685,,,,143.03125
0.006422500002372544,100,1,3,0.25421638000261737,393.3656831985823,2.5406117998136324,2.485799999703886,2.8876899523311295,3.0897379988527987,3.3409999996365514,0,0.25422189999999967,2.5422189999999967,,,,143.03125
0.006422500002372544,100,10,1,0.25483347900080844,392.41311774299,2.5473587898886763,2.4154500006261514,3.0454149486104134,4.5840709911135535,5.501898998772958,0,0.2548376000000001,2.548376000000001,,,,143.03125
0.006422500002372544,100,10,2,0.2479252789999009,403.3473327261637,2.478304790092807,2.4177999985113274,2.793795001343824,2.986209000082454,3.046499998163199,0,0.2479296999999998,2.479296999999998,,,,143.03125
0.006422500002372544,100,10,3,0.2671497779992933,374.32185326489224,2.6704427797085373,2.4015499984670896,4.672145000404271,5.044006009811711,5.15359999917564,0,0.2671435,2.671435,,,,143.03125
0.006422500002372544,100,50,1,0.2808428770003957,356.0709855563085,2.807322769804159,2.6670994993764907,3.9250399973752788,4.908316007276881,5.098099998576799,0,0.28084399999999965,2.8084399999999965,,,,143.03125
0.006422500002372544,100,50,2,0.24660188000052585,405.51191256038584,2.46510680004576,2.4013500005821697,2.8059999996912666,2.9493450079098698,3.0727000012120698,0,0.2466065999999998,2.466065999999998,,,,143.15625
0.006422500002372544,100,50,3,0.2592774789991381,385.6871811081302,2.5917897897670628,2.51140000000305,3.156664050584368,3.776279999838153,3.8237999979173765,0,0.2592825999999997,2.592825999999997,,,,143.15625
0.006422500002372544,100,100,1,0.2952791759998945,338.6625543822153,2.951649759816064,2.6129999987460906,4.920864999439799,7.756803997981482,8.4601990020019,0,0.29526810000000037,2.9526810000000037,,,,143.15625
